,code,region
556,11.02.11.2012,Mutiara Damai
557,11.02.11.2013,Dolok Nauli
558,11.02.11.2014,Tuhi Jongkat
559,11.02.11.2015,Uning Sigugur
560,11.02.11.2016,Lumban Sitio-tio
561,11.02.11.2017,Lawe Malum
562,11.02.11.2018,Alur Baning
563,11.02.11.2019,Lingga Alas
564,11.02.11.2020,Khambung Tumbung
565,11.02.11.2021,Tuah Mesade
566,11.02.11.2022,Sumukh Alas
567,11.02.11.2023,Alukh Bakhu
568,11.02.11.2024,Sepekhinding
569,11.02.11.2025,Tanoh Subukh
570,11.02.11.2026,Pinggan Mbelang
571,11.02.11.2027,Sigai Indah
572,11.02.11.2028,Ukekh Deleng
573,11.02.11.2029,Alas Mesikhat
574,11.02.11.2030,Titi Hakhapen
575,11.02.12,Ketambe
576,11.02.12.2001,Aunan Sepakat
577,11.02.12.2002,Lawe Penanggalan
578,11.02.12.2003,Lawe Mengkudu
579,11.02.12.2004,Jambur Lak-lak
580,11.02.12.2005,Simpang Tiga Jongar
581,11.02.12.2006,Jongar Asli
582,11.02.12.2007,Ketambe
583,11.02.12.2008,Rumah Bundar
584,11.02.12.2009,Penyeberangan Cingkam
585,11.02.12.2010,Deleng Damar
586,11.02.12.2011,Bintang Bener
587,11.02.12.2012,Suka Rimbun
588,11.02.12.2013,Lawe Aunan
589,11.02.12.2014,Bener Bepapah
590,11.02.12.2015,Penungkunen
591,11.02.12.2016,Datok Pining
592,11.02.12.2017,Kati Maju
593,11.02.12.2018,Leuser
594,11.02.12.2019,Jati Sara
595,11.02.12.2020,Bukit Mbakhu
596,11.02.12.2021,Kayu Metangur
597,11.02.12.2022,Lawe Sembekan
598,11.02.12.2023,Lawe Beringin
599,11.02.12.2024,Lawe Ger-Ger
600,11.02.12.2025,Simpur Jaya
601,11.02.13,Deleng Pokhkisen
602,11.02.13.2001,Salang Baru
603,11.02.13.2002,Ranto Dior
604,11.02.13.2003,Lembah Alas
605,11.02.13.2004,Tenembak Lang-Lang
606,11.02.13.2005,Salang Sigotom
607,11.02.13.2006,Tualang Lama
608,11.02.13.2007,Gusung Batu
609,11.02.13.2008,Kaya Pangur
610,11.02.13.2009,Sepakat
611,11.02.13.2010,Lawe Pangkat
612,11.02.13.2011,Bunga Melur
613,11.02.13.2012,Penampaan
614,11.02.13.2013,Terutung Mbelang
615,11.02.13.2014,Salang Muara
616,11.02.13.2015,Lawe Hakhum
617,11.02.13.2016,Tanoh Khukahen
618,11.02.13.2017,Tading Ni Ulihi
619,11.02.13.2018,Peseluk Pesimbe
620,11.02.13.2019,Kane Lot
621,11.02.13.2020,Muhajirin
622,11.02.13.2021,Beriring Naru
623,11.02.13.2022,Kati Jeroh
624,11.02.14,Lawe Sumur
625,11.02.14.2001,Terutung Megara Lawe Pasaran
626,11.02.14.2002,Kisam Gabungan
627,11.02.14.2003,Kisam Kute Pasir
628,11.02.14.2004,Lawe Sumur
629,11.02.14.2005,Lawe Sumur Baru
630,11.02.14.2006,Kute Lesung
631,11.02.14.2007,Berandang
632,11.02.14.2008,Kute Bunin
633,11.02.14.2009,Buah Pala
634,11.02.14.2010,Panosan
635,11.02.14.2011,Lawe Pasaran Tengku Mbelin
636,11.02.14.2012,Terutung Megahke MBakhu
637,11.02.14.2013,Kisam Lestari
638,11.02.14.2014,Kisam Kute Rambe
639,11.02.14.2015,Lawe Polak
640,11.02.14.2016,Lawes Sumur Sepakat
641,11.02.14.2017,Setia Baru
642,11.02.14.2018,Teger Miko
643,11.02.15,Tanoh Alas
644,11.02.15.2001,Salim Pinim I
645,11.02.15.2002,Jambur Damar
646,11.02.15.2003,Alur Langsat
647,11.02.15.2004,Rambah Sayang
648,11.02.15.2006,Rumah Luar
649,11.02.15.2007,Tenembak Alas
650,11.02.15.2008,Lawe Tungkal
651,11.02.15.2009,Salim Pinim II
652,11.02.15.2010,Jambukh Pekhmate
653,11.02.15.2011,Khutung Mbelang
654,11.02.15.2012,Timang Rasa
655,11.02.15.2013,Stambul Jaya
656,11.02.15.2014,Alur Nangke
657,11.02.15.2015,Kute Mejile
658,11.02.16,Leuser
659,11.02.16.2001,Bintang Alga Musara
660,11.02.16.2002,Bintang Bukit Indah
661,11.02.16.2003,Tanjung Sari
662,11.02.16.2004,Bun-bun Alas
663,11.02.16.2005,Naga Timbul
664,11.02.16.2006,Gunung Pak-Pak
665,11.02.16.2007,Bukit Meriah
666,11.02.16.2008,Permata Musara
667,11.02.16.2009,Laut Tawar
668,11.02.16.2010,Kane Mende
669,11.02.16.2011,Lawe Sekhakut
670,11.02.16.2012,Bunbun Indah
671,11.02.16.2013,Suka Damai
672,11.02.16.2014,Tuah Kekhine
673,11.02.16.2015,Punce Nali
674,11.02.16.2016,Sade Ate
675,11.02.16.2017,Akhih Majile
676,11.02.16.2018,Ukhat Peseluk
677,11.02.16.2019,Tunas Mude
678,11.02.16.2020,Gaye Sendah
679,11.02.16.2021,Kute Hakhapen
680,11.02.16.2022,Kompas
681,11.02.16.2023,Sepakat
682,11.03,KAB. ACEH TIMUR
683,11.03.01,Darul Aman
684,11.03.01.2001,Alue Luddin Sa
685,11.03.01.2002,Alue Luddin Dua
686,11.03.01.2003,Alue Dalam
687,11.03.01.2004,Dama Pulo Sa
688,11.03.01.2005,Dama Pulo Dua
689,11.03.01.2006,Buket Kulam
690,11.03.01.2007,Seuneubok Teungoh
691,11.03.01.2008,Jungka Gajah
692,11.03.01.2009,Seuneubok Simpang
693,11.03.01.2010,Matang Pineung
694,11.03.01.2011,Lhok Geulumpang
695,11.03.01.2012,Blang Buket
696,11.03.01.2013,Meunasah Keutapang
697,11.03.01.2014,Buket Rumia
698,11.03.01.2015,Alue Gadeng
699,11.03.01.2016,Kapai Baro
700,11.03.01.2017,Seuneubok Tuha Sa
701,11.03.01.2018,Seuneubok Tuha Dua
702,11.03.01.2019,Seuneubok Buloh
703,11.03.01.2020,Gaseh Sayang
704,11.03.01.2021,Alue Lhok
705,11.03.01.2022,Trieng Gadeng
706,11.03.01.2023,Grong-Grong
707,11.03.01.2024,Matang Geuto
708,11.03.01.2025,Alue Merbo
